chr,start,stop,CpG_count,mean_group1,mean_group2,logFC,logCPM,PValue,FDR,fold_change
chr1,92740501,92741000,3,14,19.5,-1.17713622457457,2.09809917660181,9.2626072637582e-4,0.0375689514448215,0.4422284588559
chr1,97364501,97365000,6,5,12,-1.93743141284834,1.26122505696397,5.6536334591221e-4,0.030914193581426,0.261080857354455
chr1,99679001,99679500,5,6.5,15.5,-1.93623977118117,1.57520446134979,4.26033034951079e-5,0.0130634844750863,0.261296594805874
chr1,101032501,101033000,7,3.5,11,-2.30981997114534,1.07932507306288,1.9354719298074e-4,0.0214969026490991,0.201685605874758
chr1,103555501,103556000,8,7,14,-1.68605004848644,1.51399054977352,3.9175805168684e-4,0.0281127206952951,0.310776635896876
chr1,106914001,106914500,5,4.5,11.5,-2.02454550311862,1.19019251689603,1.9663862002146e-4,0.0217153799289572,0.245782567117597
chr1,108168501,108169000,6,9.5,16,-1.44557732173386,1.75117388592706,4.4814395816398e-4,0.0281127206952951,0.367145208813087
chr1,112869001,112869500,8,7.5,13.5,-1.53662286748075,1.51031995694412,6.1769885268887e-4,0.0334963509066742,0.344691381670535
chr1,113739501,113740000,4,2.5,8.5,-2.4026475179358,0.77288307983055,4.9049913259967e-4,0.0281127206952951,0.18911719949921801
chr1,114512501,114513000,15,27,4.5,1.85501850983754,1.98285575104357,5.22263832575982e-5,0.0135727932641176,3.61756392344261
chr1,114657501,114658000,4,13,20,-1.31916970201367,2.0811241421965,3.6327234361795e-4,0.0271638358633624,0.400765520491071
chr1,115181501,115182000,3,17,23.5,-1.16849225696616,2.3482168240301,5.1242829407425e-4,0.0289449960229128,0.444886042703986
chr1,115422001,115422500,6,8,13.5,-1.44522895056925,1.54006071162429,0.00126996188760929,0.0468148723918073,0.367233874985839
chr1,115916501,115917000,9,17,2.5,2.02538316296029,1.39698279656342,0.00131769224372348,0.0468148723918073,4.07099983487482
chr1,116023501,116024000,3,5,11.5,-1.87734625305229,1.2256497206224,5.118616161639e-4,0.028919031002322,0.272183920675531
chr1,116069001,116069500,2,2.5,9.5,-2.56380210637237,0.866286603476454,1.6162920201923e-4,0.0191207805866105,0.169129226646476
chr1,116080501,116081000,1,4.5,11.5,-2.02452685836253,1.19089248291712,1.9663862002146e-4,0.0217153799289572,0.245785743523904
chr1,116251001,116251500,11,20.5,3,2.03056410794554,1.61784612318338,2.740699281129e-4,0.0221995249485186,4.08564571819077
chr1,116344001,116344500,7,4.5,10.5,-1.89442629799895,1.11453453534673,8.8297719639636e-4,0.0375689514448215,0.268980539130643
chr1,116976001,116976500,6,10.5,17.5,-1.43153420938335,1.87185710103803,3.108932803994e-4,0.0242410264927834,0.370736429632321
chr1,118065001,118065500,4,6.5,12.5,-1.62825856183408,1.39073368234758,0.0010726184264012,0.0406524752745375,0.323478434165412
chr1,118185001,118185500,27,18.5,2.5,2.13769268124324,1.48124995862248,4.9433937668299e-4,0.0281127206952951,4.40057693934752
chr1,118516501,118517000,8,7,17,-1.96492293693933,1.68166131405951,6.44056664725449e-5,0.0137575259285099,0.256152888066512
chr1,118543001,118543500,2,4.5,10.5,-1.89440683189481,1.11521817666985,8.8297719639636e-4,0.0375689514448215,0.268984168475974
chr1,118543501,118544000,4,3.5,9.5,-2.1002826985689,0.954109527013555,9.1693449057221e-4,0.0375689514448215,0.233212545008188
chr1,118772001,118772500,2,7,13.5,-1.63398070219113,1.48268171952517,6.1130901066744e-4,0.0332296418298876,0.322197967383908
chr1,118820001,118820500,3,8.5,15,-1.51040313248976,1.64992176751959,7.2400860514845e-4,0.0368089479892141,0.35101312158071
chr1,118820501,118821000,5,8.5,15,-1.51042231417637,1.6492618278658,7.2400860514845e-4,0.0368089479892141,0.351008454635346
chr1,118832501,118833000,7,2.5,9.5,-2.56229932194235,0.866981571274585,3.0408335078629e-4,0.0241175800831843,0.169305492026684
chr1,118943001,118943500,3,7.5,16.5,-1.82416617057135,1.68067847892593,2.47439052493872e-5,0.0105908420662836,0.282404274257639
chr1,118943501,118944000,1,3,9,-2.23754353862976,0.864561889337862,7.5421565071886e-4,0.0375689514448215,0.212047071160223
chr1,118983501,118984000,24,28.5,4.5,1.93270032688644,2.04035551270902,1.95089168002197e-5,0.00958240475830527,3.8176909726868
chr1,118984001,118984500,33,26.5,4,1.99459665726407,1.94276051036647,3.35717848410354e-5,0.0129753448062692,3.98504677259687
chr1,118985501,118986000,13,31.5,7.5,1.35141596133635,2.26144502877373,5.4293739293998e-4,0.030051227485286,2.55162436784108
chr1,118986001,118986500,25,60,14,1.395043474339,3.1105524060436,1.0442777524851e-4,0.0161166266587933,2.62996477087824
chr1,118999001,118999500,13,20,2.5,2.24943035590856,1.56431940864298,1.8385892105222e-4,0.0208690299986604,4.75495061038828
chr1,118999501,119000000,20,24,4,1.8618277244953,1.83863377243431,4.9159734659778e-4,0.0281127206952951,3.6346784146412
chr1,119016001,119016500,26,19,3,1.92178194300126,1.53793042117988,6.8486906549201e-4,0.0359643756014137,3.78890756243243
chr1,119021501,119022000,11,4.5,11.5,-2.02452685836253,1.19089248291712,1.9663862002146e-4,0.0217153799289572,0.245785743523904
chr1,119048501,119049000,20,34,5,2.0369915954012,2.25320223846427,1.69595220296537e-6,0.00224402915308109,4.10388867356672
chr1,119050001,119050500,3,10.5,20.5,-1.65866335653339,2.00584670311154,1.60327257242817e-5,0.00879341726243976,0.316732462260286
chr1,119064501,119065000,6,12,18.5,-1.32123361879115,1.98139225027117,9.0885420782994e-4,0.0375689514448215,0.400192596010873
chr1,119085001,119085500,13,27.5,5.5,1.59525432530969,2.04225481593405,5.9372503769831e-4,0.0323635230966586,3.02147776499925
chr1,119172501,119173000,22,27,3,2.44840657303855,1.92368561606954,9.53090666947285e-5,0.0161166266587933,5.45812930526288
chr1,119198001,119198500,3,10,16,-1.37236943966948,1.77523093405335,8.1054752997944e-4,0.0375689514448215,0.386256351151946
chr1,119250501,119251000,11,18,2.5,2.0986750254387,1.45355992960288,7.5825031903543e-4,0.0375689514448215,4.28315838039258
chr1,119321001,119321500,6,22.5,3,2.16690875765961,1.72058927890805,7.03859049046029e-5,0.0139051779983942,4.49060167403515
chr1,119580501,119581000,9,24.5,3.5,2.07840609780199,1.83766357152143,1.074295094394e-4,0.0161166266587933,4.22340353029949
chr1,119649501,119650000,14,26.5,3,2.39848957125166,1.89740126035765,5.6488576944386e-6,0.00479721079511063,5.27250870250427
chr1,120001001,120001500,10,6.5,14,-1.78545502098798,1.48706149243559,8.2821693468566e-4,0.0375689514448215,0.290084472534674
chr1,121400001,121400500,4,25.5,41.5,-1.39046204087015,3.04426832551037,4.4840446876545e-5,0.0133662435452248,0.381442620974956
chr1,121598001,121598500,1,3.5,10,-2.17382153362073,0.996063332205891,0.00102825648609514,0.039290730361262,0.22162283861673
chr1,121775501,121776000,11,18,26.5,-1.25864973907413,2.4789339140411,9.48652359820071e-5,0.0161166266587933,0.417934934379918
chr1,125069501,125070000,23,7.5,14,-1.58732884921487,1.54372477787394,9.8199286282727e-4,0.0376293566522436,0.332787038883932
chr1,125178501,125179000,25,7,21.5,-2.30158534255327,1.90380115509096,3.17400921859604e-8,2.1716410364306e-4,0.202840080536913
chr1,125179001,125179500,22,7,23,-2.39846900284659,1.97122272856974,3.6651804615562104e-9,4.89155889382122e-5,0.189665738542763
chr1,125179501,125180000,27,141.5,488.5,-2.47156373651809,6.36662517157262,4.12461504330968e-19,4.9542492789322e-14,0.18029562114875
chr1,125180001,125180500,27,1878.5,2344.5,-1.00555945596649,9.02339979718218,1.01593619637169e-5,0.00674353514489981,0.498076947028135
chr1,125180501,125181000,22,4.5,14,-2.30628013003885,1.36357817970389,8.65405812792669e-6,0.00626755523960233,0.202181075507128
chr1,125182001,125182500,26,11,64.5,-3.22762112516515,3.25075538708184,3.61645142582898e-18,3.55407750178278e-13,0.10675524625619
chr1,125182501,125183000,29,69.5,148.5,-1.77948220414601,4.75544223858131,5.631784134301881e-9,6.75576619640228e-5,0.291287923638734
chr1,125183001,125183500,25,28,46.5,-1.42237546080521,3.19298597086276,1.1195417802247e-5,0.00674353514489981,0.373097484717609
chr1,143195001,143195500,30,52.5,88,-1.43199055387143,4.09846897813248,6.53253535623958e-7,0.00136066543951541,0.370619179093109
chr1,143202501,143203000,30,7,26.5,-2.60198635539972,2.11980742823453,4.3827363067115e-11,1.50442836637981e-6,0.164711551754515
chr1,143212501,143213000,25,5.5,24.5,-2.82862998266314,1.97674161571816,4.4533266228214296e-11,1.50442836637981e-6,0.140765921784939
chr1,143213001,143213500,18,18.5,51,-2.16150984616035,3.11078711721234,1.84275705472786e-16,1.5323630564295e-11,0.223522219085138
chr1,143214001,143214500,28,10,29.5,-2.24895736785205,2.33579920337905,9.88771149049617e-10,1.81167677578781e-5,0.210376087167164
chr1,143214501,143215000,25,82,146.5,-1.54310470816479,4.80984545853615,6.3393615175332e-28,2.28434243419196e-22,0.343146201986819
chr1,143215501,143216000,26,8.5,16,-1.60292617233426,1.70372895185032,2.0039279904216e-4,0.0217239916706777,0.329208576818577
chr1,143219501,143220000,27,21,38,-1.55372724401942,2.86959928071054,3.30834787713774e-7,9.2413867930916e-4,0.340628901886285
chr1,143220001,143220500,26,29,55.5,-1.63907442492963,3.37413500873382,1.1577513363528699e-12,5.95981719826128e-8,0.32106238903657
chr1,143220501,143221000,29,11.5,22.5,-1.66293473424701,2.12718951754527,5.99284915619147e-6,0.00483058848803727,0.31579610136635
chr1,143222501,143223000,30,20.5,31.5,-1.32103422334856,2.69200673178779,6.50888063128654e-6,0.00502591586505602,0.400247910607621
chr1,143238001,143238500,26,11.5,20.5,-1.52924351173624,2.04546063958529,3.39139592945093e-5,0.0130068934895622,0.346458987846921
chr1,143239501,143240000,26,9.5,16.5,-1.48919548088541,1.77880714730794,5.5921943791155e-4,0.0306588837877395,0.356211134718254
chr1,143240001,143240500,28,14,22.5,-1.38255848107032,2.2168667127648,1.2293402821864e-4,0.0161574622075557,0.383538024016075
chr1,143240501,143241000,33,5,12.5,-1.99690292050234,1.29532361340573,2.3082983004961e-4,0.0217239916706777,0.250537259450121
chr1,143245501,143246000,25,11.5,20.5,-1.51690271007679,2.04802292212481,6.5510157364504e-4,0.0344698536848066,0.349435306770034
chr1,143246501,143247000,26,2.5,18,-3.47667517863504,1.49643379319915,4.74187335013006e-10,9.85788050758539e-6,0.0898289836644044
chr1,143247001,143247500,21,5,20.5,-2.68895401979977,1.76792662404076,5.23147254459758e-7,0.00112881602833158,0.155075854565382
chr1,143252501,143253000,31,23,83,-2.54546608511936,3.72523802487023,4.59603817819796e-18,4.1403716330841597e-13,0.171292502969568
chr1,143253001,143253500,24,33.5,88.5,-2.0985198518893,3.91612660942817,5.468104771222071e-15,4.22226740330332e-10,0.233497684435656
chr1,143263001,143263500,21,9,55,-3.29708873612439,3.01678751548401,7.2387309769282e-27,1.95631771763168e-21,0.101736640406036
chr1,143263501,143264000,25,6.5,51.5,-3.65822515749842,2.8805751862431,4.8681004477218795e-23,7.5179327011427e-18,0.0792071700144837
chr1,143264001,143264500,21,17,33,-1.65590438079677,2.6425198709453,3.39014425012134e-8,2.2622474434692e-4,0.317338753443343
chr1,143265001,143265500,19,11.5,18.5,-1.38186362329535,1.95987266713159,5.0350749331626e-4,0.028545505479583,0.383722795267202
chr1,143272501,143273000,27,3,9,-2.23531085207715,0.865976756016936,5.3625693651824e-4,0.0297607045315696,0.212375485107044
chr1,148362001,148362500,17,24.5,3,2.31314078806843,1.8160163157778,4.7340503035276e-4,0.0281127206952951,4.96963807481383
chr1,151423001,151423500,3,2.5,8.5,-2.40266698903901,0.772184637092593,4.9049913259967e-4,0.0281127206952951,0.189114647126363
chr1,153984501,153985000,6,4.5,11.5,-2.02541109929698,1.18949928708218,2.7373982559852e-4,0.0221995249485186,0.245635145358639
chr1,161777001,161777500,5,7,13.5,-1.63398097589015,1.48268813353486,6.1130901066744e-4,0.0332296418298876,0.322197906258543
chr1,164635501,164636000,19,17.5,2.5,2.05835590447068,1.42325997910204,0.001200937811076,0.0450936922553617,4.16511377333518
chr1,167740001,167740500,1,4,12,-2.24939467809458,1.19121135873088,3.89135082166807e-5,0.0130507276524771,0.210312327555448
chr1,168472501,168473000,5,2.5,8,-2.31621878886922,0.721707585381221,8.5888038110361e-4,0.0375689514448215,0.200793046034873
chr1,169825001,169825500,6,5,13.5,-2.10693973971561,1.36257905662272,7.09617554415957e-5,0.0139326168819391,0.232138909141437
chr1,170534501,170535000,6,4.5,10.5,-1.8944910725079,1.11454101395947,0.00112753332938926,0.0425465334794303,0.268968462641351
chr1,171529501,171530000,3,5,12.5,-1.99658797421977,1.2973890168965,1.9505621590243e-4,0.0216419271433569,0.250591958738348
chr1,172545001,172545500,1,3.5,11.5,-2.37358827076088,1.11726844949755,2.77326437769515e-5,0.0112875619114873,0.192965084129832
chr1,173978001,173978500,5,9.5,15.5,-1.39924506122694,1.72962549123367,0.00126446516374462,0.0468148723918073,0.379127480953403
chr1,175005501,175006000,6,5.5,12,-1.80470693407219,1.29431633329331,7.6678866140375e-4,0.0375689514448215,0.286239180247771
chr1,182028501,182029000,7,2.5,8.5,-2.40266726291731,0.772191161645853,4.9049913259967e-4,0.0281127206952951,0.189114611225225
chr1,183909501,183910000,7,4,11,-2.12491204232136,1.11484599826866,1.9354719298074e-4,0.0214969026490991,0.229264988115059
chr1,184899001,184899500,7,6,13.5,-1.85113497261069,1.42494030780097,1.1335362910833e-4,0.0161166266587933,0.277174228407603
chr1,185801501,185802000,4,4,9.5,-1.91535612235991,0.993673485046738,9.1693449057221e-4,0.0375689514448215,0.265106486998204
chr1,192529501,192530000,4,4.5,10,-1.82470167238431,1.07451012184023,0.00143831407736382,0.0488396089466156,0.282299470447052
chr1,192602501,192603000,3,5.5,12,-1.80342069342527,1.29570514875844,9.4888677751229e-4,0.0375689514448215,0.286494491751279
chr1,192651001,192651500,3,2.5,9,-2.48434384218379,0.820361649676044,1.7508197483749e-4,0.020225317065038,0.178705526752085
chr1,198324501,198325000,7,7,13,-1.57992102069453,1.4521266343426,9.4806272481996e-4,0.0375689514448215,0.334500200168891
chr1,200423001,200423500,4,2.5,8,-2.31621878886922,0.721707585381221,8.5888038110361e-4,0.0375689514448215,0.200793046034873
chr1,200617501,200618000,5,4.5,11,-1.9609718479378,1.15215751283859,5.3847666330657e-4,0.029818069377163,0.256855371948928
chr1,204495501,204496000,9,5,11.5,-1.87585793233817,1.22562385975156,0.00130324054993719,0.0468148723918073,0.272464857381985
chr1,207742001,207742500,9,2.5,8.5,-2.40266726291731,0.772191161645853,4.9049913259967e-4,0.0281127206952951,0.189114611225225
chr1,208281001,208281500,7,3.5,10.5,-2.24335092370724,1.03687199158456,1.0444273332139e-4,0.0161166266587933,0.211195218354301
chr1,211772001,211772500,8,2.5,8,-2.31623937892867,0.722407340880041,8.9233244500891e-4,0.0375689514448215,0.200790180348685
chr1,214664001,214664500,3,4,9.5,-1.91930313671733,0.992985300466131,0.00135728554181368,0.0470578560588441,0.264382183516934
chr1,219289001,219289500,6,8,15.5,-1.64292869928232,1.65421465127531,3.2518726815906e-4,0.0249088350555267,0.320205790117189
chr1,220280001,220280500,5,4.5,11.5,-2.02452631082111,1.19087953284133,1.9663862002146e-4,0.0217153799289572,0.245785836806196
chr1,220623001,220623500,5,3,9.5,-2.31232319785451,0.912617765686555,3.1896213366599e-4,0.0244856781841461,0.201335963685799
chr1,227140501,227141000,3,3.5,10,-2.17333914804371,0.996765723714099,5.933198720004e-4,0.0323430686596165,0.221696953750488
chr1,230136501,230137000,23,23.5,4,1.82204698678582,1.81157236960825,3.2127730303948e-4,0.0246440250283703,3.53582527981772
chr1,231577001,231577500,6,8,16,-1.68872743968596,1.68035588029941,9.1365481591839e-5,0.0158424628530433,0.310200423326245
chr1,235507501,235508000,6,5,11.5,-1.88308879432417,1.22357662033532,0.00115006107950507,0.0433398950238866,0.271102665996328
chr1,235814001,235814500,2,4.5,10,-1.82464436931626,1.07659162099809,0.00143831407736382,0.0488396089466156,0.282310683452277
chr1,236078001,236078500,5,3.5,9.5,-2.10030161948743,0.953405552794186,9.1693449057221e-4,0.0375689514448215,0.233209486450068
chr1,237951001,237951500,8,11.5,20.5,-1.5292829549101,2.04421833537285,3.39139592945093e-5,0.0130068934895622,0.346449515813747
chr1,238780501,238781000,5,7,13.5,-1.63392314414813,1.48469386846529,6.1130901066744e-4,0.0332296418298876,0.322210822113342
chr1,239968501,239969000,7,6.5,12.5,-1.62758934808616,1.39211081442101,0.00131778616723076,0.0468148723918073,0.323628518850427
chr1,241306001,241306500,6,23.5,3,2.22669286774785,1.76716648927809,2.78443495790608e-5,0.0113245002019386,4.68059801735527
chr1,241649001,241649500,3,4,10,-1.98864296199419,1.03516748032777,5.4925102199915e-4,0.0301953170433493,0.251975791327355
chr1,243884501,243885000,6,7,14.5,-1.73884227730069,1.54139490797581,4.2764730700406e-4,0.0281127206952951,0.29961000842191
chr1,245041001,245041500,7,7,15,-1.78493778620634,1.57220206718075,1.5813298703289e-4,0.0188765665532463,0.290188492216066
chr1,245678001,245678500,11,17.5,2.5,2.05856266712277,1.42590741265445,7.7446714039359e-4,0.0375689514448215,4.16571074751207
chr2,286001,286500,7,6.5,13.5,-1.73848443479938,1.45379119556588,2.740699281129e-4,0.0221995249485186,0.299684332162783
chr2,1742001,1742500,23,19,2.5,2.18187911405056,1.51299598130881,6.1093104365816e-4,0.0332296418298876,4.53744172360921
chr2,3256001,3256500,18,23,2.5,2.4331431384155,1.71321475258343,3.1640549833662e-4,0.0243759409247321,5.40068774848715
chr2,3419501,3420000,16,16.5,2.5,1.97706611231281,1.36609878353795,0.00112021308670281,0.0422836707114985,3.93691649541731
chr2,8847501,8848000,10,5,11,-1.81375231071024,1.18918076843214,8.2667203922442e-4,0.0375689514448215,0.284450138636013
chr2,8848001,8848500,10,5.5,13.5,-1.97093846283879,1.39476128280174,3.3284159456392e-4,0.0252696005887154,0.255087045141913
chr2,8979501,8980000,7,5.5,11.5,-1.74378221307415,1.26022269484935,0.001200937811076,0.0450936922553617,0.298585867409567
chr2,9374501,9375000,27,21,3,2.06510159637687,1.64436563889572,1.7187626673274e-4,0.0199273977770873,4.18463443594929
chr2,9678501,9679000,12,19.5,3,1.9547810789677,1.56398174091747,0.00115791024077062,0.0435931389482408,3.87657097479631
chr2,11160501,11161000,17,16,2.5,1.93010216315168,1.33185577555069,0.00137461472330829,0.0470578560588441,3.81082184254216
chr2,11408501,11409000,4,2.5,10,-2.63547944531388,0.911534775392162,6.12201529997438e-5,0.0135727932641176,0.160931712981627
chr2,11777501,11778000,15,20,2.5,2.24845263794262,1.56300897665484,2.1510908042306e-4,0.0217239916706777,4.75172926038467
chr2,12509001,12509500,9,6,13,-1.79687928960024,1.3937641316892,7.1535770913702e-4,0.0368089479892141,0.287796451774787
chr2,14747001,14747500,6,19.5,2.5,2.21556769236762,1.53893096863922,1.8475527442734e-4,0.0209377948216421,4.64464293881828
chr2,17446501,17447000,6,3,11,-2.52207663644754,1.03927945249499,5.99342283540676e-5,0.0135727932641176,0.174092187002264
chr2,17684501,17685000,3,2.5,8,-2.3162193366617,0.721720634536982,8.5888038110361e-4,0.0375689514448215,0.200792969793606
chr2,18253001,18253500,5,5,11.5,-1.87736517022011,1.2249584292672,5.118616161639e-4,0.028919031002322,0.272180351719512
chr2,18463001,18463500,5,5,12.5,-1.98832247407204,1.29805859000683,5.1270984960906e-4,0.0289593867654104,0.2520317727828
chr2,19248001,19248500,1,2.5,9,-2.48424347424357,0.820342084688092,1.5741336353817e-4,0.0187989674722654,0.178717959684233
chr2,24850501,24851000,9,2.5,8,-2.31619959189953,0.722413868262201,8.5888038110361e-4,0.0375689514448215,0.200795717870261
chr2,26123501,26124000,4,3,11,-2.52207691023617,1.03928595493873,5.99342283540676e-5,0.0135727932641176,0.17409215396378
chr2,27833001,27833500,6,9,16.5,-1.57347292600003,1.75148331193329,7.9341257233048e-4,0.0375689514448215,0.335998587685636
chr2,30285001,30285500,5,5.5,13,-1.92225673841116,1.36087021419108,7.8387820716135e-4,0.0375689514448215,0.263841472661051
chr2,31940001,31940500,2,4.5,11,-1.96095272645679,1.152826397695,5.4924635689987e-4,0.0301953170433493,0.256858776332756
chr2,36398501,36399000,4,6,13,-1.79812285008979,1.39239863624656,7.1459357983508e-4,0.0368089479892141,0.28754848662322
chr2,36399001,36399500,4,6,14,-1.9047608728005,1.4534520015013,8.81725203079124e-5,0.01559412835906,0.267060613732292
chr2,37702001,37702500,3,2.5,10.5,-2.7017023335494,0.95688413859823,1.1134049388407e-4,0.0161166266587933,0.153711569930221
chr2,39716001,39716500,1,2.5,8,-2.31623939753329,0.722407340880041,8.9234821308788e-4,0.0375689514448215,0.200790177759347
chr2,43355501,43356000,2,3.5,9.5,-2.10028297241133,0.954116031330883,9.1693449057221e-4,0.0375689514448215,0.233212500741393
chr2,43924001,43924500,5,9,17,-1.60883290253248,1.77979561000787,1.7736931487223e-4,0.0204786068266264,0.327863475531586
chr2,45526501,45527000,4,3.5,10,-2.17404475553959,0.995374208701747,6.1670571065271e-4,0.0334811239943494,0.221588550533057
chr2,45921001,45921500,6,3,9,-2.2306245385108,0.86665854942468,0.00127018802097321,0.0468148723918073,0.213066467117381
chr2,46694501,46695000,6,3,9.5,-2.3125207164861,0.911224491461764,3.1252679489692e-4,0.0242410264927834,0.201308400770039
chr2,46760001,46760500,8,5.5,12,-1.8046911946989,1.29501706724838,7.5825031903543e-4,0.0375689514448215,0.286242303049025
chr2,53981501,53982000,6,8,13.5,-1.44522812947203,1.54004151195268,0.00126996188760929,0.0468148723918073,0.367234083993836
chr2,53993501,53994000,11,27,5.5,1.57106078870715,2.02396945579669,5.913678591426e-4,0.0322480434843225,2.97123103305163
chr2,54260001,54260500,2,5,11,-1.81325481605164,1.18986091566475,9.1648850763806e-4,0.0375689514448215,0.284548244488437
chr2,57868001,57868500,7,2.5,9,-2.48511642646197,0.820368171394057,3.6774776815809e-4,0.0274889803842071,0.178609852950523
chr2,61924501,61925000,15,24.5,3.5,2.06872751396082,1.83257859902394,1.1859593615822e-4,0.0161166266587933,4.19516488238571
chr2,62634501,62635000,5,2.5,9,-2.48422482473935,0.821058501743381,1.5741336353817e-4,0.0187989674722654,0.178720269959649
chr2,63506501,63507000,4,4,9.5,-1.91533720305587,0.994374918023686,9.1693449057221e-4,0.0375689514448215,0.265109963590953
chr2,71419001,71419500,6,4.5,11.5,-2.02452658459179,1.19088600786585,1.9663862002146e-4,0.0217153799289572,0.24578579016505
chr2,85797501,85798000,17,19.5,3,1.958946676099,1.5659330634935,4.5097789109835e-4,0.0281127206952951,3.88778025181229
