"chr","start","end","logFC","FDR","fold_change","annotation","SYMBOL","GENENAME","direction","Category"
"chr20",62650501,62651000,7.02208300861485,5.20486675170798e-05,129.974339054045,"Exon (ENST00000617703.1/ENST00000617703.1, exon 1 of 1)","SLCO4A1-AS2","SLCO4A1 antisense RNA 2","Hypermethylated","Top_Hypermethylated"
"chr15",64905501,64906000,7.01768990999238,0.00209531426916561,129.579160859921,"Intron (ENST00000502574.1/80301, intron 5 of 5)","ANKDD1A","ankyrin repeat and death domain containing 1A","Hypermethylated","Top_Hypermethylated"
"chr20",61310501,61311000,7.00281442529283,0.000717755837637443,128.249947523363,"Intron (ENST00000614565.5/1002, intron 2 of 15)","CDH4","cadherin 4","Hypermethylated","Top_Hypermethylated"
"chr1",119000501,119001000,6.98588862620193,8.68922540480202e-05,126.754102011522,"Promoter (<=1kb)","LOC105378933","uncharacterized LOC105378933","Hypermethylated","Top_Hypermethylated"
"chr6",151351001,151351500,6.98588862620193,8.68922540480202e-05,126.754102011522,"Exon (ENST00000402676.7/9590, exon 4 of 5)","AKAP12","A-kinase anchoring protein 12","Hypermethylated","Top_Hypermethylated"
"chr7",148929501,148930000,6.98586947103459,8.68922540480202e-05,126.752419064088,"Distal Intergenic","RNY5","RNA, Ro60-associated Y5","Hypermethylated","Top_Hypermethylated"
"chr11",67649501,67650000,6.98585031612028,8.68922540480202e-05,126.75073616123,"Intron (ENST00000255082.8/91703, intron 1 of 7)","ACY3","aminoacylase 3","Hypermethylated","Top_Hypermethylated"
"chr17",45058001,45058500,6.98585031612028,8.68922540480202e-05,126.75073616123,"Intron (ENST00000678938.1/4836, intron 1 of 11)","DCAKD","dephospho-CoA kinase domain containing","Hypermethylated","Top_Hypermethylated"
"chr17",50128501,50129000,6.97722351185342,0.00162695501430799,125.995073298033,"Intron (ENST00000330175.9/201191, intron 1 of 9)","SAMD14","sterile alpha motif domain containing 14","Hypermethylated","Top_Hypermethylated"
"chr7",66049001,66049500,6.97499318261133,0.000554958510167926,125.800442148219,"Distal Intergenic","LOC105375336","uncharacterized LOC105375336","Hypermethylated","Top_Hypermethylated"
"chr17",75231501,75232000,6.96821784338507,0.00101124101840588,125.211029729897,"Promoter (<=1kb)","NUP85","nucleoporin 85","Hypermethylated","Top_Hypermethylated"
"chr19",2001501,2002000,6.96235508042539,0.000732702307280787,124.703234930558,"Intron (ENST00000255608.9/55643, intron 1 of 8)","BTBD2","BTB domain containing 2","Hypermethylated","Top_Hypermethylated"
"chr9",108863001,108863500,6.95578883048286,0.000349547534799193,124.136953074976,"Exon (ENST00000333999.5/10881, exon 1 of 1)","ACTL7A","actin like 7A","Hypermethylated","Top_Hypermethylated"
"chr17",41678001,41678500,6.95065650889566,0.00019965843917546,123.696126120944,"Distal Intergenic","EIF1","eukaryotic translation initiation factor 1","Hypermethylated","Top_Hypermethylated"
"chr1",37799501,37800000,6.94879070370435,0.000144956441105987,123.536256091303,"3' UTR","MANEAL","mannosidase endo-alpha like","Hypermethylated","Top_Hypermethylated"
"chr1",235467501,235468000,6.94868371264289,0.000144023631931692,123.527094913989,"Promoter (1-2kb)","B3GALNT2","beta-1,3-N-acetylgalactosaminyltransferase 2","Hypermethylated","Top_Hypermethylated"
"chr17",40145001,40145500,6.94868371264289,0.000144023631931692,123.527094913989,"Intron (ENST00000418132.7/22794, intron 3 of 7)","CASC3","CASC3 exon junction complex subunit","Hypermethylated","Top_Hypermethylated"
"chr17",81279501,81280000,6.94866455662825,0.000144023631931692,123.525454739828,"3' UTR","SLC38A10","solute carrier family 38 member 10","Hypermethylated","Top_Hypermethylated"
"chr2",149002501,149003000,6.94852844120694,0.000145282897707615,123.513800907458,"Intron (ENST00000435030.6/3800, intron 21 of 25)","KIF5C","kinesin family member 5C","Hypermethylated","Top_Hypermethylated"
"chr7",130587001,130587500,6.9404223416666,0.000435242995117087,122.821757458717,"Intron (ENST00000425248.5/26958, intron 9 of 23)","COPG2","COPI coat complex subunit gamma 2","Hypermethylated","Top_Hypermethylated"
"chr16",69758001,69758500,6.92610931987667,0.00185153395659624,121.609263572149,"Distal Intergenic","NOB1","NIN1 (RPN12) binding protein 1 homolog","Hypermethylated","Top_Hypermethylated"
"chr16",85590501,85591000,6.91492211744478,0.000277878803964691,120.669906168607,"Intron (ENST00000637419.1/23199, intron 2 of 2)","GSE1","Gse1 coiled-coil protein","Hypermethylated","Top_Hypermethylated"
"chr16",57301001,57301500,6.91100392112871,0.000149843509916344,120.342625002268,"Distal Intergenic","PLLP","plasmolipin","Hypermethylated","Top_Hypermethylated"
"chr16",70657001,70657500,6.91100390815364,0.000149843509916344,120.34262391995,"Exon (ENST00000429149.6/146433, exon 5 of 7)","IL34","interleukin 34","Hypermethylated","Top_Hypermethylated"
"chr2",236580501,236581000,6.91055294728732,0.000212008201786595,120.305012830016,"Exon (ENST00000447924.1/57007, exon 2 of 2)","ACKR3","atypical chemokine receptor 3","Hypermethylated","Top_Hypermethylated"
"chr8",124202001,124202500,6.91055294728732,0.000212008201786595,120.305012830016,"Intron (ENST00000523703.1/101927588, intron 2 of 2)","FER1L6-AS2","FER1L6 antisense RNA 2","Hypermethylated","Top_Hypermethylated"
"chr19",16553501,16554000,6.91055294728732,0.000212008201786595,120.305012830016,"3' UTR","SLC35E1","solute carrier family 35 member E1","Hypermethylated","Top_Hypermethylated"
"chr2",241645501,241646000,6.91053378966595,0.000212008201786595,120.303415304193,"Intron (ENST00000405546.7/23192, intron 1 of 12)","ATG4B","autophagy related 4B cysteine peptidase","Hypermethylated","Top_Hypermethylated"
"chrY",56752001,56752500,-7.1080842419526,0.000222907568499156,0.00724858826248695,"Distal Intergenic","VAMP7","vesicle associated membrane protein 7","Hypomethylated","Top_Hypomethylated"
"chr14",34287501,34288000,-6.50053767233743,0.004607938650493,0.0110444265850557,"Intron (ENST00000551935.5/102724945, intron 1 of 4)","LOC102724945","uncharacterized LOC102724945","Hypomethylated","Top_Hypomethylated"
"chr2",221686001,221686500,-6.41397486684487,0.00565891957119484,0.0117273847500353,"Distal Intergenic","LOC105373899","uncharacterized LOC105373899","Hypomethylated","Top_Hypomethylated"
"chrY",56736501,56737000,-6.32235166476727,0.0140547045702752,0.0124963305853392,"Distal Intergenic","VAMP7","vesicle associated membrane protein 7","Hypomethylated","Top_Hypomethylated"
"chrY",56752501,56753000,-6.32199309473972,0.00565891957119484,0.0124994368318817,"Distal Intergenic","VAMP7","vesicle associated membrane protein 7","Hypomethylated","Top_Hypomethylated"
"chr5",97722501,97723000,-6.3219928208255,0.00565891957119484,0.0124994392050609,"Distal Intergenic","LINC02234","long intergenic non-protein coding RNA 2234","Hypomethylated","Top_Hypomethylated"
"chr9",44615501,44616000,-6.3219922729972,0.00565891957119484,0.0124994439514194,"Distal Intergenic","LOC102724904","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like pseudogene","Hypomethylated","Top_Hypomethylated"
"chrY",56751501,56752000,-6.22401559415498,0.014981940945552,0.0133777973440494,"Distal Intergenic","VAMP7","vesicle associated membrane protein 7","Hypomethylated","Top_Hypomethylated"
"chr6",170386501,170387000,-6.11849844310248,0.0199623573523755,0.0143929043819292,"Intron (ENST00000630384.2/84498, intron 6 of 10)","FAM120B","family with sequence similarity 120 member B","Hypomethylated","Top_Hypomethylated"
"chr7",18891001,18891500,-6.11831356826667,0.0135727932641176,0.0143947488856229,"Intron (ENST00000406451.8/9734, intron 22 of 25)","HDAC9-AS1","HDAC9 antisense RNA 1","Hypomethylated","Top_Hypomethylated"
"chr8",115142501,115143000,-6.11831356826667,0.0135727932641176,0.0143947488856229,"Distal Intergenic","TRPS1","transcriptional repressor GATA binding 1","Hypomethylated","Top_Hypomethylated"
"chr10",59413001,59413500,-6.11831356826667,0.0135727932641176,0.0143947488856229,"Distal Intergenic","FAM13C","family with sequence similarity 13 member C","Hypomethylated","Top_Hypomethylated"
"chrX",150135001,150135500,-6.11831329431662,0.0135727932641176,0.0143947516190091,"Intron (ENST00000449111.5/100272228, intron 11 of 14)","MIR2114","microRNA 2114","Hypomethylated","Top_Hypomethylated"
"chr18",31910001,31910500,-6.11831302036661,0.0135727932641176,0.0143947543523952,"Intron (ENST00000283351.10/22878, intron 5 of 28)","TRAPPC8","trafficking protein particle complex subunit 8","Hypomethylated","Top_Hypomethylated"
"chr16",64350501,64351000,-6.11813348816126,0.0195247875323882,0.0143965457793616,"Distal Intergenic","LOC105371310","uncharacterized LOC105371310","Hypomethylated","Top_Hypomethylated"
"chr15",50986001,50986500,-6.11813348341799,0.0195247875323882,0.0143965458266943,"Intron (ENST00000558439.5/23431, intron 16 of 20)","AP4E1","adaptor related protein complex 4 subunit epsilon 1","Hypomethylated","Top_Hypomethylated"
"chr9",75345001,75345500,-6.00525731393736,0.0379284805174768,0.0155681646767746,"Distal Intergenic","OSTF1","osteoclast stimulating factor 1","Hypomethylated","Top_Hypomethylated"
"chr13",109679501,109680000,-6.00492727789292,0.0317892268451793,0.0155717265128441,"Intron (ENST00000650264.1/107984602, intron 1 of 3)","LINC00676","long intergenic non-protein coding RNA 676","Hypomethylated","Top_Hypomethylated"
"chr21",15430501,15431000,-6.00492727694023,0.0317892268451793,0.0155717265231269,"Intron (ENST00000634642.1/101927745, intron 1 of 6)","LOC101927745","uncharacterized LOC101927745","Hypomethylated","Top_Hypomethylated"
"chr6",5948501,5949000,-6.00465286129336,0.0217239916706777,0.0155746887096652,"Distal Intergenic","NRN1","neuritin 1","Hypomethylated","Top_Hypomethylated"
"chr14",93278501,93279000,-6.00465286043741,0.0217239916706777,0.0155746887189057,"Intron (ENST00000355125.3/55727, intron 1 of 7)","BTBD7","BTB domain containing 7","Hypomethylated","Top_Hypomethylated"
"chr11",106089001,106089500,-6.0045660533909,0.0161166266587933,0.0155756258770474,"Promoter (1-2kb)","AASDHPPT","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase","Hypomethylated","Top_Hypomethylated"
"chr2",19587501,19588000,-6.00456577942287,0.0161166266587933,0.0155756288348616,"Distal Intergenic","LINC01808","long intergenic non-protein coding RNA 1808","Hypomethylated","Top_Hypomethylated"
"chr2",160658001,160658500,-6.00456577942287,0.0161166266587933,0.0155756288348616,"Distal Intergenic","RBMS1","RNA binding motif single stranded interacting protein 1","Hypomethylated","Top_Hypomethylated"
"chr3",30302001,30302500,-6.00456577942287,0.0161166266587933,0.0155756288348616,"Exon (ENST00000659869.1/124909358, exon 3 of 4)","LOC124906377","small nucleolar RNA U3","Hypomethylated","Top_Hypomethylated"
"chr7",19913001,19913500,-6.00456577942287,0.0161166266587933,0.0155756288348616,"Distal Intergenic","LOC101927668","uncharacterized LOC101927668","Hypomethylated","Top_Hypomethylated"
"chr13",68617501,68618000,-6.00456577942287,0.0161166266587933,0.0155756288348616,"Distal Intergenic","LINC02342","long intergenic non-protein coding RNA 2342","Hypomethylated","Top_Hypomethylated"
"chr11",128141501,128142000,-6.0045655054549,0.0161166266587933,0.0155756317926758,"Intron (ENST00000670942.1/105369563, intron 2 of 5)","LINC02725","long intergenic non-protein coding RNA 2725","Hypomethylated","Top_Hypomethylated"
"chr14",50604001,50604500,-6.0045655054549,0.0161166266587933,0.0155756317926758,"Intron (ENST00000556478.3/51062, intron 7 of 13)","ATL1","atlastin GTPase 1","Hypomethylated","Top_Hypomethylated"
"chr17",51328001,51328500,-6.00448252999313,0.0217239916706777,0.0155765276385546,"Intron (ENST00000514726.1/101927274, intron 3 of 5)","LINC02071","long intergenic non-protein coding RNA 2071","Hypomethylated","Top_Hypomethylated"
"chr16",63303501,63304000,-6.00448252910782,0.0217239916706777,0.015576527648113,"Distal Intergenic","LOC105371307","uncharacterized LOC105371307","Hypomethylated","Top_Hypomethylated"
"chr13",39871501,39872000,-6.00420942179392,0.0313268691337795,0.0155794766194378,"Distal Intergenic","LOC124903255","small nucleolar RNA SNORD116","Hypomethylated","Top_Hypomethylated"
"chr8",99086001,99086500,-5.88133368486677,0.0368089479892141,0.016964542276026,"Intron (ENST00000496144.5/157680, intron 3 of 33)","VPS13B","vacuolar protein sorting 13 homolog B","Hypomethylated","Top_Hypomethylated"
"chr3",39552001,39552500,-5.88107667071158,0.0217239916706777,0.0169675647553277,"Distal Intergenic","MOBP","myelin associated oligodendrocyte basic protein","Hypomethylated","Top_Hypomethylated"
"chr4",123070001,123070500,-5.88107667071158,0.0217239916706777,0.0169675647553277,"Intron (ENST00000675612.1/166378, intron 14 of 16)","AFG2A","AFG2 AAA ATPase homolog A","Hypomethylated","Top_Hypomethylated"
"chr7",25574001,25574500,-5.88107667071158,0.0217239916706777,0.0169675647553277,"Distal Intergenic","LINC03007","long intergenic non-protein coding RNA 3007","Hypomethylated","Top_Hypomethylated"
"chr15",98093001,98093500,-5.88107667071158,0.0217239916706777,0.0169675647553277,"Intron (ENST00000560360.2/ENST00000560360.2, intron 3 of 4)","LINC01582","long intergenic non-protein coding RNA 1582","Hypomethylated","Top_Hypomethylated"
"chr16",80090501,80091000,-5.88107667071158,0.0217239916706777,0.0169675647553277,"Intron (ENST00000567851.5/105371357, intron 2 of 3)","LOC105371357","uncharacterized LOC105371357","Hypomethylated","Top_Hypomethylated"
"chr1",143201501,143202000,-5.88107639672558,0.0217239916706777,0.0169675679776827,"Distal Intergenic","LOC107985200","uncharacterized LOC107985200","Hypomethylated","Top_Hypomethylated"
"chr7",81457001,81457500,-5.88107639672558,0.0217239916706777,0.0169675679776827,"Distal Intergenic","LOC105369146","uncharacterized LOC105369146","Hypomethylated","Top_Hypomethylated"
"chr13",33858501,33859000,-5.88107639672558,0.0217239916706777,0.0169675679776827,"Intron (ENST00000434425.5/5983, intron 8 of 8)","RFC3","replication factor C subunit 3","Hypomethylated","Top_Hypomethylated"
"chr9",116413001,116413500,-5.88107612273963,0.0217239916706777,0.0169675712000378,"Distal Intergenic","PAPPA-AS1","PAPPA antisense RNA 1","Hypomethylated","Top_Hypomethylated"
"chr2",132018001,132018500,-5.88107584875373,0.0217239916706777,0.0169675744223928,"Distal Intergenic","LINC01945","long intergenic non-protein coding RNA 1945","Hypomethylated","Top_Hypomethylated"
"chr5",14833001,14833500,-5.88107584875373,0.0217239916706777,0.0169675744223928,"Intron (ENST00000284268.8/56172, intron 1 of 11)","MIR4637","microRNA 4637","Hypomethylated","Top_Hypomethylated"
"chr12",81091001,81091500,-5.88107584875373,0.0217239916706777,0.0169675744223928,"Intron (ENST00000549175.1/79611, intron 2 of 3)","ACSS3","acyl-CoA synthetase short chain family member 3","Hypomethylated","Top_Hypomethylated"
"chrX",154008501,154009000,-5.88107584875373,0.0217239916706777,0.0169675744223928,"Distal Intergenic","IRAK1","interleukin 1 receptor associated kinase 1","Hypomethylated","Top_Hypomethylated"
"chr12",9371501,9372000,-5.8808234760328,0.0368089479892141,0.0169705428442467,"Intron (ENST00000664173.1/101930452, intron 3 of 4)","LINC02367","long intergenic non-protein coding RNA 2367","Hypomethylated","Top_Hypomethylated"
"chr4",137981001,137981500,-5.88082347546758,0.0368089479892141,0.0169705428508955,"Intron (ENST00000655176.1/105377447, intron 3 of 8)","LOC105377447","uncharacterized LOC105377447","Hypomethylated","Top_Hypomethylated"
"chr3",17115001,17115500,-5.88082347490236,0.0368089479892141,0.0169705428575442,"Distal Intergenic","PLCL2-AS1","PLCL2 antisense RNA 1","Hypomethylated","Top_Hypomethylated"
"chr1",51669501,51670000,-5.74616244625711,0.0375689514448215,0.0186308531935406,"3' UTR","OSBPL9","oxysterol binding protein like 9","Hypomethylated","Top_Hypomethylated"
"chr17",82750001,82750500,7.3178493832068,6.1694929203597e-06,159.548295218614,"Promoter (1-2kb)","TBCD","tubulin folding cofactor D","Hypermethylated","Top_Promoter_DMRs"
"chr4",1202001,1202500,7.25310605392623,2.24349635751805e-06,152.546582982121,"Promoter (<=1kb)","LOC100130872","uncharacterized LOC100130872","Hypermethylated","Top_Promoter_DMRs"
"chr5",14498001,14498500,7.19076947442109,7.28271711144918e-06,146.095656291669,"Promoter (<=1kb)","TRIO","trio Rho guanine nucleotide exchange factor","Hypermethylated","Top_Promoter_DMRs"
"chr6",150370001,150370500,7.15872348223179,1.13201168969733e-05,142.886269853278,"Promoter (<=1kb)","IYD","iodotyrosine deiodinase","Hypermethylated","Top_Promoter_DMRs"
"chr1",16629501,16630000,7.15858100827179,1.12880708374464e-05,142.872159755897,"Promoter (<=1kb)","LOC124900584","rootletin-like","Hypermethylated","Top_Promoter_DMRs"
"chr2",154699001,154699500,7.12277648004642,3.88192740781583e-05,139.370023382309,"Promoter (<=1kb)","KCNJ3","potassium inwardly rectifying channel subfamily J member 3","Hypermethylated","Top_Promoter_DMRs"
"chr17",48578501,48579000,7.09198393152765,1.91243511119995e-05,136.426862710899,"Promoter (<=1kb)","HOXB4","homeobox B4","Hypermethylated","Top_Promoter_DMRs"
"chr1",119000501,119001000,6.98588862620193,8.68922540480202e-05,126.754102011522,"Promoter (<=1kb)","LOC105378933","uncharacterized LOC105378933","Hypermethylated","Top_Promoter_DMRs"
"chr17",75231501,75232000,6.96821784338507,0.00101124101840588,125.211029729897,"Promoter (<=1kb)","NUP85","nucleoporin 85","Hypermethylated","Top_Promoter_DMRs"
"chr1",235467501,235468000,6.94868371264289,0.000144023631931692,123.527094913989,"Promoter (1-2kb)","B3GALNT2","beta-1,3-N-acetylgalactosaminyltransferase 2","Hypermethylated","Top_Promoter_DMRs"
"chr16",69936501,69937000,6.9094423813509,0.000253400920855278,120.212439393221,"Promoter (<=1kb)","WWP2","WW domain containing E3 ubiquitin protein ligase 2","Hypermethylated","Top_Promoter_DMRs"
"chr9",129874501,129875000,6.90476131483324,0.00047563209388274,119.823022037532,"Promoter (<=1kb)","USP20","ubiquitin specific peptidase 20","Hypermethylated","Top_Promoter_DMRs"
"chr17",76085001,76085500,6.89084221150283,0.00198774486379249,118.672529941969,"Promoter (<=1kb)","EXOC7","exocyst complex component 7","Hypermethylated","Top_Promoter_DMRs"
"chr7",129205501,129206000,6.87322235165981,0.000288199960923278,117.231978546192,"Promoter (<=1kb)","SMO","smoothened, frizzled class receptor","Hypermethylated","Top_Promoter_DMRs"
"chr17",56960001,56960500,6.8714309224404,0.00021452359974661,117.086499113016,"Promoter (<=1kb)","COIL","coilin","Hypermethylated","Top_Promoter_DMRs"
"chr1",118989501,118990000,6.87132795223872,0.000212008201786595,117.078142537411,"Promoter (<=1kb)","TBX15","T-box transcription factor 15","Hypermethylated","Top_Promoter_DMRs"
"chr1",211326001,211326500,6.87132795223872,0.000212008201786595,117.078142537411,"Promoter (<=1kb)","TRAF5","TNF receptor associated factor 5","Hypermethylated","Top_Promoter_DMRs"
"chr4",8394501,8395000,6.87130879376995,0.000315359073730512,117.076587792312,"Promoter (<=1kb)","ACOX3","acyl-CoA oxidase 3, pristanoyl","Hypermethylated","Top_Promoter_DMRs"
"chr17",82696001,82696500,6.87104226705672,0.000322719955008508,117.054960799024,"Promoter (<=1kb)","RAB40B","RAB40B, member RAS oncogene family","Hypermethylated","Top_Promoter_DMRs"
"chr17",81630501,81631000,6.87104214029709,0.000322719955008508,117.054950514215,"Promoter (<=1kb)","NPLOC4","NPL4 homolog, ubiquitin recognition factor","Hypermethylated","Top_Promoter_DMRs"
"chr15",43458001,43458500,6.84157396005743,0.00101468957601916,114.688264137518,"Promoter (1-2kb)","TP53BP1","tumor protein p53 binding protein 1","Hypermethylated","Top_Promoter_DMRs"
"chr8",140541001,140541500,6.83148185610503,0.000327470762962472,113.888783356001,"Promoter (<=1kb)","AGO2","argonaute RISC catalytic component 2","Hypermethylated","Top_Promoter_DMRs"
"chr21",43753001,43753500,6.83148177247474,0.000327470762962472,113.888776754085,"Promoter (<=1kb)","PDXK","pyridoxal kinase","Hypermethylated","Top_Promoter_DMRs"
"chr17",43387501,43388000,6.83106576255146,0.000315359073730512,113.855940964398,"Promoter (<=1kb)","LINC00910","long intergenic non-protein coding RNA 910","Hypermethylated","Top_Promoter_DMRs"
"chr11",71474001,71474500,6.83102744265272,0.000315359073730512,113.852916839367,"Promoter (<=1kb)","NADSYN1","NAD synthetase 1","Hypermethylated","Top_Promoter_DMRs"
"chr17",76923501,76924000,6.83102744265272,0.000315359073730512,113.852916839367,"Promoter (<=1kb)","MGAT5B","alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B","Hypermethylated","Top_Promoter_DMRs"
"chr8",140556001,140556500,6.82011625952771,0.00483058848803727,112.995088863473,"Promoter (<=1kb)","AGO2","argonaute RISC catalytic component 2","Hypermethylated","Top_Promoter_DMRs"
"chr10",73853501,73854000,6.80364655521794,0.00173258651366767,111.712479955226,"Promoter (<=1kb)","CAMK2G","calcium/calmodulin dependent protein kinase II gamma","Hypermethylated","Top_Promoter_DMRs"
"chr17",76572501,76573000,6.78968587027538,0.00049119550015765,110.636673161929,"Promoter (<=1kb)","ST6GALNAC2","ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2","Hypermethylated","Top_Promoter_DMRs"
"chr17",4717501,4718000,6.789588515407,0.000484978117102361,110.629207512547,"Promoter (<=1kb)","ARRB2","arrestin beta 2","Hypermethylated","Top_Promoter_DMRs"
"chr17",78904501,78905000,6.78499728277052,0.000825386273958656,110.277700741515,"Promoter (1-2kb)","CEP295NL","CEP295 N-terminal like","Hypermethylated","Top_Promoter_DMRs"
"chr10",68518001,68518500,6.7737059430972,0.00505955622649958,109.417974409918,"Promoter (<=1kb)","SLC25A16","solute carrier family 25 member 16","Hypermethylated","Top_Promoter_DMRs"
"chr9",136524501,136525000,6.77080309409322,0.00332277228902671,109.198035671989,"Promoter (<=1kb)","NOTCH1","notch receptor 1","Hypermethylated","Top_Promoter_DMRs"
"chr19",43576001,43576500,6.75751769127513,0.00186236884655693,108.197075272229,"Promoter (<=1kb)","PINLYP","phospholipase A2 inhibitor and LY6/PLAUR domain containing","Hypermethylated","Top_Promoter_DMRs"
"chr17",82478501,82479000,6.74730435027175,0.00075191189312716,107.433815346681,"Promoter (1-2kb)","NARF","nuclear prelamin A recognition factor","Hypermethylated","Top_Promoter_DMRs"
"chr7",140642501,140643000,6.74730430957211,0.00075191189312716,107.433812315883,"Promoter (1-2kb)","DENND2A","DENN domain containing 2A","Hypermethylated","Top_Promoter_DMRs"
"chr17",44732501,44733000,6.74690436003378,0.000735452614706524,107.404033223922,"Promoter (<=1kb)","DBF4B","DBF4B-CDC7 kinase regulatory subunit","Hypermethylated","Top_Promoter_DMRs"
"chr20",63709001,63709500,6.74679239355903,0.000745074423760323,107.395698001304,"Promoter (<=1kb)","ZGPAT","zinc finger CCCH-type and G-patch domain containing","Hypermethylated","Top_Promoter_DMRs"
"chr1",2388001,2388500,6.73859295553881,0.00154112787687165,106.787054653815,"Promoter (<=1kb)","MORN1","MORN repeat containing 1","Hypermethylated","Top_Promoter_DMRs"
"chr3",183164001,183164500,6.73471124946387,0.00674353514489981,106.500120270704,"Promoter (<=1kb)","LAMP3","lysosomal associated membrane protein 3","Hypermethylated","Top_Promoter_DMRs"
"chr1",243267001,243267500,6.70295770942006,0.00101468957601916,104.181673704735,"Promoter (1-2kb)","SDCCAG8","SHH signaling and ciliogenesis regulator SDCCAG8","Hypermethylated","Top_Promoter_DMRs"
