"Category","Metric","Value"
"Promoter_Upregulated","Pearson_r","0.0336"
"Promoter_Upregulated","Pearson_pvalue","5.46e-01"
"Promoter_Upregulated","Pearson_95CI_low","-0.0755"
"Promoter_Upregulated","Pearson_95CI_high","0.1419"
"Promoter_Upregulated","Spearman_rho","0.0446"
"Promoter_Upregulated","Spearman_pvalue","4.23e-01"
"Promoter_Upregulated","Effect_size_interpretation","Negligible"
"Promoter_Downregulated","N_genes","385"
"Promoter_Downregulated","Pearson_r","0.0996"
"Promoter_Downregulated","Pearson_pvalue","5.07e-02"
"Promoter_Downregulated","Pearson_95CI_low","-3e-04"
"Promoter_Downregulated","Pearson_95CI_high","0.1976"
"Promoter_Downregulated","Spearman_rho","0.1474"
"Promoter_Downregulated","Spearman_pvalue","3.75e-03"
"Promoter_Downregulated","Effect_size_interpretation","Negligible"
"GeneBody_ByExpression","N_Downregulated","847"
"GeneBody_ByExpression","Mean_Downregulated","3.5578"
"GeneBody_ByExpression","SD_Downregulated","2.895"
"GeneBody_ByExpression","Median_Downregulated","4.7927"
"GeneBody_ByExpression","IQR_Downregulated","[2.70, 5.61]"
"GeneBody_ByExpression","N_Unchanged","4820"
"GeneBody_ByExpression","Mean_Unchanged","4.1288"
"GeneBody_ByExpression","SD_Unchanged","2.38"
"GeneBody_ByExpression","Median_Unchanged","5.0536"
"GeneBody_ByExpression","IQR_Unchanged","[3.51, 5.63]"
"GeneBody_ByExpression","N_Upregulated","697"
"GeneBody_ByExpression","Mean_Upregulated","4.2717"
"GeneBody_ByExpression","SD_Upregulated","2.3604"
"GeneBody_ByExpression","Median_Upregulated","5.4235"
"GeneBody_ByExpression","IQR_Upregulated","[3.65, 5.65]"
"Promoter_ByExpression","N_Downregulated","385"
"Promoter_ByExpression","Mean_Downregulated","4.37"
"Promoter_ByExpression","SD_Downregulated","2.1721"
"Promoter_ByExpression","Median_Downregulated","5.4235"
"Promoter_ByExpression","IQR_Downregulated","[3.52, 5.72]"
"Promoter_ByExpression","N_Unchanged","2572"
"Promoter_ByExpression","Mean_Unchanged","4.6163"
"Promoter_ByExpression","SD_Unchanged","1.8086"
"Promoter_ByExpression","Median_Unchanged","5.4235"
"Promoter_ByExpression","IQR_Unchanged","[3.70, 5.72]"
"Promoter_ByExpression","N_Upregulated","325"
"Promoter_ByExpression","Mean_Upregulated","4.8464"
"Promoter_ByExpression","SD_Upregulated","1.3793"
"Promoter_ByExpression","Median_Upregulated","5.5205"
"Promoter_ByExpression","IQR_Upregulated","[3.93, 5.73]"
"GeneBody_UpVsDown","Mean_Upregulated","4.2717"
"GeneBody_UpVsDown","Mean_Downregulated","3.5578"
"GeneBody_UpVsDown","Mean_Difference","0.7139"
"GeneBody_UpVsDown","Wilcoxon_pvalue","4.91e-07"
"GeneBody_UpVsDown","Ttest_pvalue","1.08e-07"
"GeneBody_UpVsDown","Cohens_d","0.2677"
"GeneBody_UpVsDown","Effect_size_interpretation","Small"
"Promoter_UpVsDown","Mean_Upregulated","4.8464"
"Promoter_UpVsDown","Mean_Downregulated","4.37"
"Promoter_UpVsDown","Mean_Difference","0.4764"
"Promoter_UpVsDown","Wilcoxon_pvalue","3.59e-02"
"Promoter_UpVsDown","Ttest_pvalue","4.28e-04"
"Promoter_UpVsDown","Cohens_d","0.2572"
"Promoter_UpVsDown","Effect_size_interpretation","Small"
"Conclusions","1_Imbalance_Warning","91% of DMRs are hypermethylated - categorical direction analysis is unreliable"
"Conclusions","2_All_Groups_Hypermethylated","All expression groups show net hypermethylation: Up=4.27, Down=3.56, Unchanged=4.13"
"Conclusions","3_Relative_Difference","Upregulated genes gain MORE methylation than downregulated (diff=0.71 logFC)"
"Conclusions","4_Correlation_Direction","Positive correlation: higher methylation associated with higher expression (opposite of classical dogma)"
"Conclusions","5_Mechanism_Interpretation","Methylation appears to be a CONSEQUENCE of transcription, not a CAUSE of silencing"
"Conclusions","6_GeneBody_vs_Promoter","Gene body correlation (r=0.155) stronger than promoter (r=0.142) in DEGs"
